,Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID
1454,Released,User_87,W_Validate application,Workflow,Workitem_1404052780,suspend,2016-01-12 08:14:24.136000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1455,Obtained,User_87,W_Validate application,Workflow,Workitem_658937168,resume,2016-01-12 12:05:35.482000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1456,statechange,User_87,O_Accepted,Offer,OfferState_1128437541,complete,2016-01-12 12:13:45.145000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,Offer_1236377933
1457,statechange,User_87,A_Pending,Application,ApplState_1160305551,complete,2016-01-12 12:13:45.148000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
1458,Deleted,User_87,W_Validate application,Workflow,Workitem_1933451474,complete,2016-01-12 12:13:45.151000+00:00,Existing loan takeover,Limit raise,Application_493034835,9000.0,,,,,,,,
35468,Created,User_95,A_Create Application,Application,Application_1333957806,complete,2016-01-13 14:03:25.947000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35469,Created,User_95,W_Complete application,Workflow,Workitem_120773119,schedule,2016-01-13 14:03:25.955000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35470,Obtained,User_95,W_Complete application,Workflow,Workitem_1700219991,start,2016-01-13 14:03:25.958000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35471,statechange,User_95,A_Concept,Application,ApplState_640917949,complete,2016-01-13 14:03:25.961000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35472,Released,User_95,W_Complete application,Workflow,Workitem_2094434299,suspend,2016-01-13 14:06:52.360000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35473,statechange,User_95,A_Accepted,Application,ApplState_1353174001,complete,2016-01-13 14:44:14.548000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35474,Created,User_95,O_Create Offer,Offer,Offer_158118763,complete,2016-01-13 14:48:05.128000+00:00,Unknown,New credit,Application_1333957806,0.0,5562.0,120.0,True,261.48,True,1000.0,25000.0,
35475,statechange,User_95,O_Created,Offer,OfferState_507379119,complete,2016-01-13 14:48:06.363000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,Offer_158118763
35476,statechange,User_95,O_Sent (mail and online),Offer,OfferState_1938818594,complete,2016-01-13 14:48:17.143000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,Offer_158118763
35477,Deleted,User_95,W_Complete application,Workflow,Workitem_1590639086,ate_abort,2016-01-13 14:48:17.158000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35478,Created,User_95,W_Call after offers,Workflow,Workitem_2009309641,schedule,2016-01-13 14:48:17.165000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35479,Obtained,User_95,W_Call after offers,Workflow,Workitem_1211417948,start,2016-01-13 14:48:17.167000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35480,statechange,User_95,A_Complete,Application,ApplState_2143546142,complete,2016-01-13 14:48:17.169000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35481,Deleted,User_95,W_Call after offers,Workflow,Workitem_1798229687,complete,2016-01-13 14:48:38.518000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35482,Created,User_95,W_Validate application,Workflow,Workitem_1617206213,schedule,2016-01-13 14:48:38.564000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35483,Obtained,User_95,W_Validate application,Workflow,Workitem_276776315,start,2016-01-13 14:48:38.567000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35484,statechange,User_95,A_Validating,Application,ApplState_1875222335,complete,2016-01-13 14:48:39.514000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35485,statechange,User_95,O_Returned,Offer,OfferState_1139033544,complete,2016-01-13 14:49:46.379000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,Offer_158118763
35486,Deleted,User_95,W_Validate application,Workflow,Workitem_936746100,complete,2016-01-13 14:51:40.258000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35487,Created,User_95,W_Call incomplete files,Workflow,Workitem_645985049,schedule,2016-01-13 14:51:40.264000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35488,Obtained,User_95,W_Call incomplete files,Workflow,Workitem_1655747416,start,2016-01-13 14:51:40.265000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35489,statechange,User_95,A_Incomplete,Application,ApplState_792434065,complete,2016-01-13 14:51:40.267000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35490,Released,User_95,W_Call incomplete files,Workflow,Workitem_991851458,suspend,2016-01-13 14:51:50.880000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35491,Obtained,User_27,W_Call incomplete files,Workflow,Workitem_1789494069,resume,2016-01-13 18:52:32.774000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35492,Released,User_27,W_Call incomplete files,Workflow,Workitem_1777731421,suspend,2016-01-13 19:05:48.599000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35493,Obtained,User_2,W_Call incomplete files,Workflow,Workitem_1439803923,resume,2016-01-15 10:00:38.728000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35494,Released,User_2,W_Call incomplete files,Workflow,Workitem_1881785769,suspend,2016-01-15 10:00:59.651000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35495,Obtained,User_41,W_Call incomplete files,Workflow,Workitem_744008839,resume,2016-01-21 10:10:10.112000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35496,Released,User_41,W_Call incomplete files,Workflow,Workitem_1590439218,suspend,2016-01-21 10:12:03.942000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35497,Deleted,User_120,W_Call incomplete files,Workflow,Workitem_1760925486,ate_abort,2016-01-23 12:00:57.569000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35498,Created,User_120,W_Validate application,Workflow,Workitem_1348472785,schedule,2016-01-23 12:00:57.652000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35499,Obtained,User_120,W_Validate application,Workflow,Workitem_1115610380,start,2016-01-23 12:00:57.656000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35500,statechange,User_120,A_Validating,Application,ApplState_1128943556,complete,2016-01-23 12:00:57.734000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35501,Released,User_120,W_Validate application,Workflow,Workitem_1465194976,suspend,2016-01-23 12:03:13.102000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35502,Obtained,User_95,W_Validate application,Workflow,Workitem_1775687494,resume,2016-01-25 08:13:50.991000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35503,Released,User_95,W_Validate application,Workflow,Workitem_641015544,suspend,2016-01-25 08:18:24.429000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35504,Obtained,User_95,W_Validate application,Workflow,Workitem_1759058307,resume,2016-01-25 08:20:49.017000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35505,Released,User_95,W_Validate application,Workflow,Workitem_1610907174,suspend,2016-01-25 08:28:03.604000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35506,statechange,User_95,O_Accepted,Offer,OfferState_715308222,complete,2016-01-25 08:31:41.793000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,Offer_158118763
35507,statechange,User_95,A_Pending,Application,ApplState_831941858,complete,2016-01-25 08:31:41.799000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
35508,Deleted,User_95,W_Validate application,Workflow,Workitem_986060861,ate_abort,2016-01-25 08:31:41.817000+00:00,Unknown,New credit,Application_1333957806,0.0,,,,,,,,
46794,Created,User_109,A_Create Application,Application,Application_1720509792,complete,2016-01-18 08:55:22.555000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46795,Created,User_109,W_Complete application,Workflow,Workitem_655132335,schedule,2016-01-18 08:55:22.562000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46796,Obtained,User_109,W_Complete application,Workflow,Workitem_204046296,start,2016-01-18 08:55:22.565000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46797,statechange,User_109,A_Concept,Application,ApplState_1427209011,complete,2016-01-18 08:55:22.567000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46798,statechange,User_109,A_Accepted,Application,ApplState_18268818,complete,2016-01-18 09:13:37.218000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46799,Released,User_109,W_Complete application,Workflow,Workitem_608705570,suspend,2016-01-18 09:18:41.556000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46800,Created,User_3,O_Create Offer,Offer,Offer_34657039,complete,2016-01-18 15:52:32.103000+00:00,Unknown,New credit,Application_1720509792,0.0,0.0,126.0,True,320.0,True,748.0,32000.0,
46801,statechange,User_3,O_Created,Offer,OfferState_1128721000,complete,2016-01-18 15:52:33.388000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,Offer_34657039
46802,statechange,User_3,O_Sent (online only),Offer,OfferState_677820262,complete,2016-01-18 15:52:48.152000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,Offer_34657039
46803,Deleted,User_3,W_Complete application,Workflow,Workitem_94399470,ate_abort,2016-01-18 15:52:48.166000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46804,Created,User_3,W_Call after offers,Workflow,Workitem_228335573,schedule,2016-01-18 15:52:48.172000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46805,Obtained,User_3,W_Call after offers,Workflow,Workitem_727848962,start,2016-01-18 15:52:48.175000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46806,statechange,User_3,A_Complete,Application,ApplState_401062218,complete,2016-01-18 15:52:48.177000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46807,Released,User_3,W_Call after offers,Workflow,Workitem_1767215824,suspend,2016-01-18 15:59:48.019000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46808,Obtained,User_14,W_Call after offers,Workflow,Workitem_45162055,resume,2016-01-22 17:10:48.741000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46809,Released,User_14,W_Call after offers,Workflow,Workitem_275224839,suspend,2016-01-22 17:11:43.062000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46810,Obtained,User_4,W_Call after offers,Workflow,Workitem_1232728246,resume,2016-01-22 17:40:52.366000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46811,Released,User_4,W_Call after offers,Workflow,Workitem_866269458,suspend,2016-01-22 17:41:07.707000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46812,Obtained,User_44,W_Call after offers,Workflow,Workitem_1439319326,resume,2016-01-22 17:43:33.036000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46813,Released,User_44,W_Call after offers,Workflow,Workitem_1064459557,suspend,2016-01-22 17:49:52.485000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46814,Deleted,User_112,W_Call after offers,Workflow,Workitem_112547775,ate_abort,2016-02-01 12:02:51.394000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46815,Created,User_112,W_Validate application,Workflow,Workitem_1987219432,schedule,2016-02-01 12:02:51.433000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46816,Obtained,User_112,W_Validate application,Workflow,Workitem_1418594202,start,2016-02-01 12:02:51.435000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46817,statechange,User_112,A_Validating,Application,ApplState_369985386,complete,2016-02-01 12:02:52.907000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46818,statechange,User_112,O_Returned,Offer,OfferState_636141283,complete,2016-02-01 12:03:05.870000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,Offer_34657039
46819,Released,User_112,W_Validate application,Workflow,Workitem_1068355417,suspend,2016-02-01 12:03:27.570000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46820,Deleted,User_109,W_Validate application,Workflow,Workitem_779274216,ate_abort,2016-02-01 14:59:12.294000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46821,Created,User_109,W_Call incomplete files,Workflow,Workitem_311728153,schedule,2016-02-01 14:59:12.305000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46822,Obtained,User_109,W_Call incomplete files,Workflow,Workitem_1209325358,start,2016-02-01 14:59:12.309000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46823,statechange,User_109,A_Incomplete,Application,ApplState_794945797,complete,2016-02-01 14:59:12.312000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46824,Released,User_1,W_Call incomplete files,Workflow,Workitem_1671639038,suspend,2016-02-01 23:00:29.172000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46825,Released,User_1,W_Call incomplete files,Workflow,Workitem_1482108176,suspend,2016-02-01 23:00:29.180000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46826,Released,User_1,W_Call incomplete files,Workflow,Workitem_1972682723,suspend,2016-02-01 23:00:29.188000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46827,Released,User_1,W_Call incomplete files,Workflow,Workitem_1757783025,suspend,2016-02-01 23:00:29.195000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46828,Released,User_1,W_Call incomplete files,Workflow,Workitem_1340917845,suspend,2016-02-01 23:00:29.202000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46829,Obtained,User_2,W_Call incomplete files,Workflow,Workitem_960764137,resume,2016-02-02 08:18:54.669000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46830,Released,User_2,W_Call incomplete files,Workflow,Workitem_1247291876,suspend,2016-02-02 08:28:01.772000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46831,Deleted,User_112,W_Call incomplete files,Workflow,Workitem_1893000425,ate_abort,2016-02-03 11:03:02.180000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46832,Created,User_112,W_Validate application,Workflow,Workitem_1510358951,schedule,2016-02-03 11:03:02.197000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46833,Obtained,User_112,W_Validate application,Workflow,Workitem_1834853060,start,2016-02-03 11:03:02.203000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46834,statechange,User_112,A_Validating,Application,ApplState_62011135,complete,2016-02-03 11:03:02.307000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46835,Released,User_112,W_Validate application,Workflow,Workitem_897529446,suspend,2016-02-03 11:03:22.048000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46836,statechange,User_75,O_Accepted,Offer,OfferState_1572197653,complete,2016-02-04 10:51:27.813000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,Offer_34657039
46837,statechange,User_75,A_Pending,Application,ApplState_1543280194,complete,2016-02-04 10:51:27.816000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
46838,Deleted,User_75,W_Validate application,Workflow,Workitem_582548645,ate_abort,2016-02-04 10:51:27.819000+00:00,Unknown,New credit,Application_1720509792,0.0,,,,,,,,
62409,Created,User_1,A_Create Application,Application,Application_449945337,complete,2016-01-22 16:11:09.947000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62410,statechange,User_1,A_Submitted,Application,ApplState_523767979,complete,2016-01-22 16:11:09.987000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62411,Created,User_1,W_Handle leads,Workflow,Workitem_2101704465,schedule,2016-01-22 16:11:10.657000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62412,Deleted,User_1,W_Handle leads,Workflow,Workitem_1308954587,withdraw,2016-01-22 16:12:01.166000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62413,Created,User_1,W_Complete application,Workflow,Workitem_1633366230,schedule,2016-01-22 16:12:01.322000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62414,statechange,User_1,A_Concept,Application,ApplState_160901465,complete,2016-01-22 16:12:01.330000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62415,Obtained,User_35,W_Complete application,Workflow,Workitem_1306875023,start,2016-01-23 14:47:54.915000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62416,Released,User_35,W_Complete application,Workflow,Workitem_1412671164,suspend,2016-01-23 14:48:04.348000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62417,Obtained,User_52,W_Complete application,Workflow,Workitem_2113082516,resume,2016-01-23 14:50:18.609000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62418,Released,User_52,W_Complete application,Workflow,Workitem_589707000,suspend,2016-01-23 14:51:02.667000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62419,Obtained,User_24,W_Complete application,Workflow,Workitem_92173218,resume,2016-01-23 15:25:25.793000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62420,statechange,User_24,A_Accepted,Application,ApplState_367592545,complete,2016-01-23 15:32:19.036000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62421,Created,User_24,O_Create Offer,Offer,Offer_960222463,complete,2016-01-23 15:35:55.224000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,15000.0,48.0,True,345.33,False,0.0,15000.0,
62422,statechange,User_24,O_Created,Offer,OfferState_13625538,complete,2016-01-23 15:35:56.627000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,Offer_960222463
62423,statechange,User_24,O_Sent (mail and online),Offer,OfferState_23900434,complete,2016-01-23 15:36:07.978000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,Offer_960222463
62424,Deleted,User_24,W_Complete application,Workflow,Workitem_2073715450,complete,2016-01-23 15:36:07.994000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62425,Created,User_24,W_Call after offers,Workflow,Workitem_558732310,schedule,2016-01-23 15:36:08.001000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62426,Obtained,User_24,W_Call after offers,Workflow,Workitem_840906647,start,2016-01-23 15:36:08.003000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62427,statechange,User_24,A_Complete,Application,ApplState_571288276,complete,2016-01-23 15:36:08.005000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62428,Released,User_24,W_Call after offers,Workflow,Workitem_1723030489,suspend,2016-01-23 15:41:39.735000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62429,Obtained,User_9,W_Call after offers,Workflow,Workitem_1159068291,resume,2016-01-27 11:16:04.476000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62430,Released,User_9,W_Call after offers,Workflow,Workitem_2139871586,suspend,2016-01-27 11:16:25.530000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62431,Created,User_5,O_Create Offer,Offer,Offer_2079627534,complete,2016-01-29 14:07:06.964000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,15000.0,48.0,True,344.04,True,984.0,15000.0,
62432,statechange,User_5,O_Created,Offer,OfferState_987081902,complete,2016-01-29 14:07:08.722000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,Offer_2079627534
62433,statechange,User_5,O_Sent (mail and online),Offer,OfferState_1665608604,complete,2016-01-29 14:07:21.634000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,Offer_2079627534
62434,Deleted,User_117,W_Call after offers,Workflow,Workitem_1653854646,ate_abort,2016-02-10 13:27:16.598000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62435,Created,User_117,W_Validate application,Workflow,Workitem_1430407575,schedule,2016-02-10 13:27:16.616000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62436,Obtained,User_117,W_Validate application,Workflow,Workitem_2083324353,start,2016-02-10 13:27:16.617000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62437,statechange,User_117,A_Validating,Application,ApplState_1732130898,complete,2016-02-10 13:27:17.454000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62438,statechange,User_117,O_Returned,Offer,OfferState_419630548,complete,2016-02-10 13:27:28.842000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,Offer_2079627534
62439,Released,User_117,W_Validate application,Workflow,Workitem_146494710,suspend,2016-02-10 13:30:22.348000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62440,Obtained,User_102,W_Validate application,Workflow,Workitem_761231884,resume,2016-02-11 07:50:44.009000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62441,Released,User_102,W_Validate application,Workflow,Workitem_284843198,suspend,2016-02-11 07:51:08.126000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62442,Obtained,User_87,W_Validate application,Workflow,Workitem_512130587,resume,2016-02-16 11:24:21.498000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62443,Released,User_87,W_Validate application,Workflow,Workitem_836014469,suspend,2016-02-16 11:24:25.821000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62444,Obtained,User_99,W_Validate application,Workflow,Workitem_1110121878,resume,2016-02-16 14:45:30.133000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62445,Released,User_99,W_Validate application,Workflow,Workitem_1427158832,suspend,2016-02-16 14:45:55.336000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62446,Obtained,User_99,W_Validate application,Workflow,Workitem_1689826383,resume,2016-02-17 07:21:05.140000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62447,Deleted,User_99,W_Validate application,Workflow,Workitem_1668987611,complete,2016-02-17 08:18:54.827000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62448,Created,User_99,W_Call incomplete files,Workflow,Workitem_2040592953,schedule,2016-02-17 08:18:54.912000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62449,Obtained,User_99,W_Call incomplete files,Workflow,Workitem_1878318110,start,2016-02-17 08:18:54.916000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
62450,statechange,User_99,A_Incomplete,Application,ApplState_1244971013,complete,2016-02-17 08:18:54.921000+00:00,Remaining debt home,New credit,Application_449945337,15000.0,,,,,,,,
